"colony","hive","cca","date","doy","adult_num_low","adult_num_mean","adult_num_high","honey_kg_low","honey_kg_mean","honey_kg_high","pupae_num_low","pupae_num_mean","pupae_num_high"
"LSCFS_2014_1","A","CCA6",2014-09-09,252,11720.016,8073.2655,27866.547,11.46380472,9.15559764,29.775,9139.362,12231.4495,33602.261
"LSCFS_2014_1","A","CCA7",2014-10-15,288,7869.015,6564.6235,20998.262,8.181126684,9.308186658,26.7975,0,1849.623,3699.246
"LSCFS_2014_1","B","CCA4",2014-07-17,198,10924.452,9931.62,30787.692,7.979123556,16.952188222,41.8835,9671.739,13043.8195,35759.378
"LSCFS_2014_1","B","CCA5",2014-08-08,220,12891.879,8908.6965,30709.272,7.42374216,15.84037892,39.1045,10824.999,14163.0655,39151.13
"LSCFS_2014_1","B","CCA6",2014-09-09,252,3432.429,14033.1355,31498.7,0,10.471,20.942,1952.049,19986.3695,41924.788
"LSCFS_2014_1","B","CCA7",2014-10-15,288,1883.574,11096.99,24077.554,0.555635808,6.421682096,13.399,443.871,8101.368,16646.607
"LSCFS_2014_1","C","CCA4",2014-07-17,198,10799.019,7270.5485,25340.116,11.362803156,11.141598422,33.646,9139.362,12693.467,34526.296
"LSCFS_2014_1","C","CCA5",2014-08-08,220,12515.58,10793.9855,34103.551,14.443223652,11.090138174,36.6235,8518.032,11617.303,31752.638
"LSCFS_2014_1","C","CCA6",2014-09-09,252,10255.014,11016.557,32288.128,8.029751544,10.277124228,28.584,9494.28,14211.884,37918.048
"LSCFS_2014_1","C","CCA7",2014-10-15,288,6194.727,4796.9165,15788.56,5.454084456,3.873207772,13.2005,1508.625,2791.1865,7090.998
"LSCFS_2014_1","C","CCA8",2015-03-18,77,3474.009,1538.991,6551.991,2.047329,1.6560855,5.3595,2484.426,3073.574,8631.574
"LSCFS_2014_1","C","CCA9",2015-04-23,113,14189.868,6286.132,26762.132,4.928755,3.9868725,12.9025,1508.625,1866.375,5241.375
"LSCFS_2014_1","D","CCA4",2014-07-17,198,10464.3,4753.9835,19972.267,13.938215832,13.774142084,41.4865,7985.655,10187.6155,28360.886
"LSCFS_2014_1","D","CCA5",2014-08-08,220,10632.006,6880.921,24393.848,14.796856332,13.394571834,41.586,7009.854,11446.5805,29903.015
"LSCFS_2014_1","D","CCA6",2014-09-09,252,11761.596,7342.121,26445.838,9.393145452,8.503677274,26.4005,7009.854,9134.1635,25278.181
"LSCFS_2014_1","D","CCA7",2014-10-15,288,7869.015,4749.2005,17367.416,9.746778132,9.617110934,28.981,887.295,3101.8515,7090.998
"LSCFS_2014_1","D","CCA8",2015-03-18,77,753.291,333.709,1420.709,9.668038,7.820481,25.309,621.33,768.67,2158.67
"LSCFS_2014_1","D","CCA9",2015-04-23,113,83.853,37.147,158.147,9.023413,7.2990435,23.6215,0,0,0
"LSCFS_2014_1","E","CCA4",2014-07-17,198,10464.3,9016.764,28497.828,12.524193936,7.434403032,27.393,8252.067,14678.467,37609.001
"LSCFS_2014_1","E","CCA5",2014-08-08,220,10004.148,13470.4105,36944.969,11.665807848,7.714846076,27.0955,9227.868,14498.837,38225.542
"LSCFS_2014_1","E","CCA6",2014-09-09,252,10380.447,10519.263,31418.973,7.272112608,3.758193696,14.7885,9050.409,15975.172,41000.753
"LSCFS_2014_1","E","CCA7",2014-10-15,288,9543.303,6241.1305,22025.564,6.514728084,7.660135958,21.835,1774.59,4353.3035,10481.197
"LSCFS_2014_1","E","CCA8",2015-03-18,77,1548.855,686.145,2921.145,0.568798,0.460101,1.489,2395.92,2964.08,8324.08
"LSCFS_2014_1","E","CCA9",2015-04-23,113,8203.734,3634.266,15472.266,2.578118,2.085441,6.749,10381.575,12843.425,36068.425
"LSCFS_2014_1","F","CCA4",2014-07-17,198,9794.862,8483.635,26762.132,8.888137632,11.435931184,31.76,8518.032,11925.5735,32369.179
"LSCFS_2014_1","F","CCA5",2014-08-08,220,13101.165,9277.1875,31655.54,11.211173604,12.259413198,35.73,7808.196,13667.3205,35142.837
"LSCFS_2014_1","F","CCA6",2014-09-09,252,12641.013,7257.9165,27156.846,3.080674908,9.178662546,21.438,10026.657,15024.254,40075.165
"LSCFS_2014_1","F","CCA7",2014-10-15,288,10213.434,6498.136,23209.706,3.232050048,9.351224976,21.9345,887.295,1868.7695,4624.834
"LSCFS_2014_1","G","CCA4",2014-07-17,198,9083.151,13733.552,36550.255,13.98884382,8.38932809,30.7675,4081.557,16147.181,36375.919
"LSCFS_2014_1","G","CCA5",2014-08-08,220,6864.858,15869.347,38603.552,13.332206448,8.419896776,30.172,3016.803,16063.017,35142.837
"LSCFS_2014_1","G","CCA6",2014-09-09,252,3055.437,12761.059,28577.555,9.191142324,5.875428838,20.942,0,18187.9595,36375.919
"LSCFS_2014_1","G","CCA7",2014-10-15,288,1632.708,15879.9175,33392.543,4.999704624,4.894397688,14.7885,532.377,2662.7695,5857.916
"LSCFS_2014_1","G","CCA8",2015-03-18,77,3725.568,1650.432,7026.432,3.184734,2.576133,8.337,2484.426,3073.574,8631.574
