colony,hive,cca,date,doy,adult_num,pupae_num,larvae_num,eggs_num,queen,hive_weight,honey_cells,honey_kg,pollen_cells,pollen_g,mites_per100,mites_num,disease
LSCFS_2013_1,H5,CCA3,2013-06-23,174,4081,8256,0,0,0,40.5,14620,7.31,2236,514.28,0,0,NA
LSCFS_2013_1,H5,CCA4,2013-07-17,198,2851,4472,4988,3268,1,52.5,13932,6.966,0,0,NA,NA,NA
LSCFS_2013_1,H5,CCA5,2013-08-14,226,1733,860,344,516,1,31,9116,4.558,172,39.56,NA,NA,NA
LSCFS_2013_1,I5,CCA2,2013-05-30,150,9168,17716,4816,3096,1,NA,22704,11.352,4644,1068.12,NA,NA,NA
LSCFS_2013_1,I5,CCA3,2013-06-23,174,6652,4300,0,0,0,45,17716,8.858,6708,1542.84,NA,NA,NA
LSCFS_2013_1,I5,CCA4,2013-07-17,198,6764,18576,4300,4300,1,66,20296,10.148,3268,751.64,NA,NA,NA
LSCFS_2013_1,I5,CCA5,2013-08-14,226,10901,21672,9632,6192,1,41,12040,6.02,4300,989,0.42,457842,0
LSCFS_2013_1,I5,CCA6,2013-09-10,253,13472,22704,8600,5504,1,58.5,22704,11.352,2752,632.96,NA,NA,NA
LSCFS_2013_1,I5,CCA7,2013-10-16,289,9447,10492,3440,2752,1,61,26316,13.158,2064,474.72,NA,NA,NA
LSCFS_2013_1,I5,CCA8,2014-03-22,81,9950,19092,9116,5504,1,41,5332,2.666,5848,1345.04,0.89,885550,0
LSCFS_2013_1,I8,CCA1,2013-05-12,132,4807,12212,3956,3612,1,NA,3612,1.806,2236,514.28,NA,NA,NA
LSCFS_2013_1,I8,CCA2,2013-06-03,154,11460,17888,5676,1376,1,NA,12900,6.45,7740,1780.2,NA,NA,NA
LSCFS_2013_1,I8,CCA3,2013-06-23,174,7155,0,5332,7224,1,36,11524,5.762,6536,1503.28,1.68,1202040,0
LSCFS_2013_1,I8,CCA4,2013-07-18,199,6093,13072,6192,4472,1,58,15136,7.568,3268,751.64,NA,NA,NA
LSCFS_2013_1,I8,CCA5,2013-08-15,227,9950,18060,6880,5676,1,52,8428,4.214,8944,2057.12,1.15,1144250,0
LSCFS_2013_1,I8,CCA6,2013-09-11,254,11236,17544,7912,2064,1,68,30960,15.48,1548,356.04,NA,NA,NA
LSCFS_2013_1,I8,CCA7,2013-10-17,290,11907,5160,2064,1204,1,66.5,32336,16.168,3956,909.88,NA,NA,NA
LSCFS_2013_1,I8,CCA8,2014-03-22,81,7658,5848,3096,2924,1,47,16856,8.428,8256,1898.88,0,0,0
LSCFS_2013_1,J1,CCA3,2013-06-23,174,10956,0,14792,9976,1,32,14620,7.31,12384,2848.32,0.57,624492,0
LSCFS_2013_1,J1,CCA4,2013-07-17,198,4081,10492,7224,1720,1,62.5,21672,10.836,3440,791.2,NA,NA,NA
LSCFS_2013_1,J1,CCA5,2013-08-14,226,6876,14964,5676,4988,1,53,17200,8.6,6364,1463.72,0.31,213156,3.00E+05
LSCFS_2013_1,J1,CCA6,2013-09-10,253,6261,17888,4644,5332,1,58,23392,11.696,3612,830.76,NA,NA,NA
LSCFS_2013_1,J1,CCA7,2013-10-16,289,5925,5332,1204,1204,1,54.5,20640,10.32,4988,1147.24,NA,NA,NA
LSCFS_2013_1,J1,CCA8,2014-03-22,81,1062,0,0,1204,1,45,15480,7.74,2580,593.4,0.54,57348,22400000
LSCFS_2013_1,J7,CCA1,2013-05-12,132,4025,8256,4816,3440,1,NA,6020,3.01,3268,751.64,NA,NA,NA
LSCFS_2013_1,J7,CCA2,2013-05-30,150,4025,14792,3784,4300,1,NA,9804,4.902,4128,949.44,NA,NA,NA
LSCFS_2013_1,J7,CCA3,2013-06-23,174,3522,0,4644,1204,1,35.5,7052,3.526,3956,909.88,0,0,0
LSCFS_2013_1,J7,CCA4,2013-07-17,198,5199,14964,7052,4300,1,54,10492,5.246,2408,553.84,NA,NA,NA
LSCFS_2013_1,J7,CCA5,2013-08-14,226,12578,23392,8428,8256,1,47,2752,1.376,7224,1661.52,0.37,465386,0
LSCFS_2013_1,J7,CCA6,2013-09-10,253,7602,19780,4644,4472,1,65,27692,13.846,4300,989,NA,NA,NA
