study,colony,cca,date,doy,adult.num,pupae.num,larvae.num,eggs.num,queen,honey.cells,honey.kg,pollen.cells,pollen.g
LSCFS_2013_1,G6,CCA3,6/23/2013,174,6764,20296,6880,172,1,12728,6.364,1548,356.04
LSCFS_2013_1,G6,CCA4,7/17/2013,198,2963,0,1032,4300,1,23736,11.868,4644,1068.12
LSCFS_2013_1,G6,CCA5,8/14/2013,226,6932,14620,5676,6708,1,14792,7.396,5848,1345.04
LSCFS_2013_1,G6,CCA6,9/10/2013,253,6652,19780,6536,6192,1,13072,6.536,4300,989
LSCFS_2013_1,G6,CCA7,10/16/2013,289,4304,4644,3268,2064,1,9632,4.816,4988,1147.24
LSCFS_2013_1,G6,CCA8,3/22/2014,81,3578,4988,2408,1548,1,7052,3.526,3440,791.2
LSCFS_2013_1,H3,CCA2,5/30/2013,150,10118,17544,3096,6020,1,8772,4.386,2924,672.52
LSCFS_2013_1,H3,CCA3,6/23/2013,174,10733,16340,10148,6192,1,5160,2.58,4128,949.44
LSCFS_2013_1,H3,CCA4,7/17/2013,198,14143,22360,7912,4816,1,9632,4.816,3440,791.2
LSCFS_2013_1,H3,CCA5,8/14/2013,226,12913,23220,8600,4128,1,7912,3.956,8256,1898.88
LSCFS_2013_1,H3,CCA6,9/10/2013,253,9894,19780,4988,2408,1,33024,16.512,1376,316.48
LSCFS_2013_1,H3,CCA7,10/16/2013,289,8497,4644,0,0,0,31992,15.996,344,79.12
LSCFS_2013_1,H3,CCA8,3/22/2014,81,9615,15480,5848,2236,1,3784,1.892,4816,1107.68
LSCFS_2013_1,H5,CCA1,5/12/2013,132,3522,7568,4644,5160,1,3784,1.892,3096,712.08
LSCFS_2013_1,H5,CCA2,5/30/2013,150,6429,17200,5848,3612,1,13760,6.88,3956,909.88
LSCFS_2013_1,H5,CCA3,6/23/2013,174,4081,8256,0,0,0,14620,7.31,2236,514.28
LSCFS_2013_1,H5,CCA4,7/17/2013,198,2851,4472,4988,3268,1,13932,6.966,0,0
LSCFS_2013_1,H5,CCA5,8/14/2013,226,1733,860,344,516,1,9116,4.558,172,39.56
LSCFS_2013_1,I5,CCA2,5/30/2013,150,9168,17716,4816,3096,1,22704,11.352,4644,1068.12
LSCFS_2013_1,I5,CCA3,6/23/2013,174,6652,4300,0,0,0,17716,8.858,6708,1542.84
LSCFS_2013_1,I5,CCA4,7/17/2013,198,6764,18576,4300,4300,1,20296,10.148,3268,751.64
LSCFS_2013_1,I5,CCA5,8/14/2013,226,10901,21672,9632,6192,1,12040,6.02,4300,989
LSCFS_2013_1,I5,CCA6,9/10/2013,253,13472,22704,8600,5504,1,22704,11.352,2752,632.96
LSCFS_2013_1,I5,CCA7,10/16/2013,289,9447,10492,3440,2752,1,26316,13.158,2064,474.72
LSCFS_2013_1,I5,CCA8,3/22/2014,81,9950,19092,9116,5504,1,5332,2.666,5848,1345.04
LSCFS_2013_1,I8,CCA1,5/12/2013,132,4807,12212,3956,3612,1,3612,1.806,2236,514.28
LSCFS_2013_1,I8,CCA2,6/3/2013,154,11460,17888,5676,1376,1,12900,6.45,7740,1780.2
LSCFS_2013_1,I8,CCA3,6/23/2013,174,7155,0,5332,7224,1,11524,5.762,6536,1503.28
LSCFS_2013_1,I8,CCA4,7/18/2013,199,6093,13072,6192,4472,1,15136,7.568,3268,751.64
LSCFS_2013_1,I8,CCA5,8/15/2013,227,9950,18060,6880,5676,1,8428,4.214,8944,2057.12
LSCFS_2013_1,I8,CCA6,9/11/2013,254,11236,17544,7912,2064,1,30960,15.48,1548,356.04
LSCFS_2013_1,I8,CCA7,10/17/2013,290,11907,5160,2064,1204,1,32336,16.168,3956,909.88
LSCFS_2013_1,I8,CCA8,3/22/2014,81,7658,5848,3096,2924,1,16856,8.428,8256,1898.88
LSCFS_2013_1,J1,CCA3,6/23/2013,174,10956,0,14792,9976,1,14620,7.31,12384,2848.32
LSCFS_2013_1,J1,CCA4,7/17/2013,198,4081,10492,7224,1720,1,21672,10.836,3440,791.2
LSCFS_2013_1,J1,CCA5,8/14/2013,226,6876,14964,5676,4988,1,17200,8.6,6364,1463.72
LSCFS_2013_1,J1,CCA6,9/10/2013,253,6261,17888,4644,5332,1,23392,11.696,3612,830.76
LSCFS_2013_1,J1,CCA7,10/16/2013,289,5925,5332,1204,1204,1,20640,10.32,4988,1147.24
LSCFS_2013_1,J1,CCA8,3/22/2014,81,1062,0,0,1204,1,15480,7.74,2580,593.4
LSCFS_2013_1,J7,CCA1,5/12/2013,132,4025,8256,4816,3440,1,6020,3.01,3268,751.64
LSCFS_2013_1,J7,CCA2,5/30/2013,150,4025,14792,3784,4300,1,9804,4.902,4128,949.44
LSCFS_2013_1,J7,CCA3,6/23/2013,174,3522,0,4644,1204,1,7052,3.526,3956,909.88
LSCFS_2013_1,J7,CCA4,7/17/2013,198,5199,14964,7052,4300,1,10492,5.246,2408,553.84
LSCFS_2013_1,J7,CCA5,8/14/2013,226,12578,23392,8428,8256,1,2752,1.376,7224,1661.52
LSCFS_2013_1,J7,CCA6,9/10/2013,253,7602,19780,4644,4472,1,27692,13.846,4300,989
LSCFS_2013_1,J7,CCA7,10/16/2013,289,6596,4644,2580,3268,1,30272,15.136,6192,1424.16
LSCFS_2013_1,J7,CCA8,3/22/2014,81,13137,17716,5848,5160,1,17888,8.944,5676,1305.48
LSCFS_2013_1,K3,CCA1,5/12/2013,132,3019,0,0,1892,1,9460,4.73,4988,1147.24
LSCFS_2013_1,K3,CCA2,5/30/2013,150,4025,14620,4300,3612,1,16168,8.084,4816,1107.68
LSCFS_2013_1,K3,CCA3,6/23/2013,174,5366,18060,8084,4816,1,11008,5.504,1548,356.04
LSCFS_2013_1,K3,CCA4,7/17/2013,198,6484,19608,8428,4816,1,4300,2.15,1720,395.6
LSCFS_2013_1,K3,CCA5,8/14/2013,226,4919,0,1892,6880,1,12212,6.106,7568,1740.64
LSCFS_2013_1,K3,CCA6,9/10/2013,253,6596,15308,9288,4988,1,8256,4.128,3612,830.76
LSCFS_2013_1,K3,CCA7,10/16/2013,289,3410,3612,516,688,1,2236,1.118,172,39.56
LSCFS_2013_1,K4,CCA2,6/12/2013,163,8217,12900,3784,5676,1,8772,4.386,3440,791.2
LSCFS_2013_1,K4,CCA3,6/23/2013,174,7491,11868,8428,4988,1,8256,4.128,4816,1107.68
LSCFS_2013_1,K4,CCA4,7/18/2013,199,11851,15652,5332,3956,1,7568,3.784,8600,1978
LSCFS_2013_1,K4,CCA5,8/15/2013,227,13584,17716,5160,4300,1,6536,3.268,7912,1819.76
LSCFS_2013_1,K4,CCA6,9/11/2013,254,7547,14792,3440,3096,1,17888,8.944,4128,949.44
LSCFS_2013_1,K4,CCA7,10/17/2013,290,4752,3784,1376,1032,1,13588,6.794,2752,632.96
LSCFS_2013_1,L5,CCA1,5/12/2013,132,3410,6020,1548,3268,1,2580,1.29,3612,830.76
LSCFS_2013_1,L5,CCA2,5/30/2013,150,6093,13072,5332,1032,1,11008,5.504,1376,316.48
LSCFS_2013_1,L5,CCA3,6/23/2013,174,5422,5504,8084,7740,1,14276,7.138,6020,1384.6
LSCFS_2013_1,L5,CCA4,7/17/2013,198,7211,13588,8084,5504,1,15652,7.826,4472,1028.56
LSCFS_2013_1,L5,CCA5,8/14/2013,226,8106,19780,9288,5848,1,12040,6.02,14104,3243.92
LSCFS_2013_1,L5,CCA6,9/10/2013,253,6988,20812,7912,5504,1,26144,13.072,2924,672.52
LSCFS_2013_1,L5,CCA7,10/16/2013,289,9838,9116,1376,688,1,36120,18.06,5676,1305.48
LSCFS_2013_1,L5,CCA8,3/22/2014,81,10733,14792,8600,3956,1,20124,10.062,6192,1424.16
LSCFS_2013_1,L7,CCA2,5/30/2013,150,4360,9804,4988,3956,1,7052,3.526,1376,316.48
LSCFS_2013_1,L7,CCA3,6/23/2013,174,4863,16168,4644,6880,1,2580,1.29,1892,435.16
LSCFS_2013_1,L7,CCA4,7/17/2013,198,7435,17372,6364,5504,1,7912,3.956,5160,1186.8
LSCFS_2013_1,L7,CCA5,8/14/2013,226,7099,18060,6708,7740,1,7224,3.612,6192,1424.16
LSCFS_2013_1,L7,CCA6,9/10/2013,253,6820,13244,2924,3612,1,30788,15.394,1376,316.48
LSCFS_2013_1,L7,CCA7,10/16/2013,289,9000,6880,2236,1204,1,36636,18.318,2064,474.72
LSCFS_2013_1,L7,CCA8,3/22/2014,81,13528,21328,9632,3612,1,18576,9.288,5676,1305.48
LSCFS_2014_1,A3,CCA1,5/15/2014,135,8516,8734,4169,8139,1,24217,12.1085,5360,1232.8
LSCFS_2014_1,A3,CCA2,6/5/2014,156,8818,20049,12109,2581,1,37914,18.957,2382,547.86
LSCFS_2014_1,A3,CCA3,6/20/2014,171,22408,22034,10719,8139,1,56970,28.485,7543,1734.89
LSCFS_2014_1,A3,CCA4,7/17/2014,198,15885,20247,10521,4764,1,76820,38.41,7543,1734.89
LSCFS_2014_1,A3,CCA5,8/8/2014,220,19086,18064,6948,6948,1,83767,41.8835,9925,2282.75
LSCFS_2014_1,A3,CCA6,9/9/2014,252,16912,20446,8139,4963,1,45060,22.53,8734,2008.82
LSCFS_2014_1,A3,CCA7,10/15/2014,288,11355,0,0,0,0,32157,16.0785,12506,2876.38
LSCFS_2014_1,A5,CCA1,5/15/2014,135,9422,2382,5955,8933,1,37318,18.659,8337,1917.51
LSCFS_2014_1,A5,CCA2,6/5/2014,156,20174,21438,11513,6551,1,98258,49.129,5955,1369.65
LSCFS_2014_1,A5,CCA3,6/20/2014,171,26395,24019,12506,8536,1,114733,57.3665,6749,1552.27
LSCFS_2014_1,A5,CCA4,7/17/2014,198,18543,17071,9131,8139,1,87340,43.67,15682,3606.86
LSCFS_2014_1,A5,CCA5,8/8/2014,220,21684,16674,11315,9528,1,91112,45.556,13697,3150.31
LSCFS_2014_1,A5,CCA6,9/9/2014,252,21321,21637,13300,3772,1,59550,29.775,11513,2647.99
LSCFS_2014_1,A5,CCA7,10/15/2014,288,16066,2382,199,1787,1,53595,26.7975,12506,2876.38
LSCFS_2014_1,B2,CCA1,5/15/2014,135,2356,6352,3970,2978,1,2581,1.2905,397,91.31
LSCFS_2014_1,B2,CCA3,6/20/2014,171,6644,16476,13697,3176,1,20843,10.4215,4169,958.87
LSCFS_2014_1,B2,CCA4,7/17/2014,198,15764,23026,10719,7146,1,31363,15.6815,7940,1826.2
LSCFS_2014_1,B2,CCA5,8/8/2014,220,18603,25210,12903,5161,1,29180,14.59,8933,2054.59
LSCFS_2014_1,B2,CCA6,9/9/2014,252,4953,4367,0,0,0,0,0,596,137.08
LSCFS_2014_1,B2,CCA7,10/15/2014,288,2718,993,596,1191,1,2184,1.092,397,91.31
LSCFS_2014_1,B3,CCA1,5/15/2014,135,4711,8933,4566,6154,1,13101,6.5505,4169,958.87
LSCFS_2014_1,B3,CCA2,6/5/2014,156,12986,15285,6154,14888,1,72056,36.028,3176,730.48
LSCFS_2014_1,B3,CCA3,6/20/2014,171,23979,21438,8734,12903,1,84958,42.479,6948,1598.04
LSCFS_2014_1,B3,CCA4,7/17/2014,198,23556,21637,6352,7543,1,83767,41.8835,10719,2465.37
LSCFS_2014_1,B3,CCA5,8/8/2014,220,23496,24217,10719,8933,1,78209,39.1045,9925,2282.75
LSCFS_2014_1,B3,CCA6,9/9/2014,252,24100,26996,9925,8536,1,41884,20.942,1191,273.93
LSCFS_2014_1,B3,CCA7,10/15/2014,288,18422,10719,7146,4963,1,26798,13.399,9330,2145.9
LSCFS_2014_1,C1,CCA1,5/15/2014,135,7731,3375,6154,4764,1,33150,16.575,5161,1187.03
